N/A,META,,,,,SUMMARY,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion
,,,,,,,,
147,N/A,24510120201,Baltimore city,Maryland,2017,54,49,58
148,N/A,24510120201,Baltimore city,Maryland,2018,52,45,58
149,N/A,24510120201,Baltimore city,Maryland,2019,53,46,60
150,N/A,24005440200,Baltimore County,Maryland,2017,43,32,54
151,N/A,24005440200,Baltimore County,Maryland,2018,47,37,57
152,N/A,24005440200,Baltimore County,Maryland,2019,50,42,58
153,N/A,24005441000,Baltimore County,Maryland,2017,44,32,56
154,N/A,24005441000,Baltimore County,Maryland,2018,55,52,58
155,N/A,24005441000,Baltimore County,Maryland,2019,54,48,59
156,N/A,24510271300,Baltimore city,Maryland,2017,62,51,72
157,N/A,24510271300,Baltimore city,Maryland,2018,62,52,73
158,N/A,24510271300,Baltimore city,Maryland,2019,54,37,72
159,N/A,24510230100,Baltimore city,Maryland,2017,45,37,53
160,N/A,24510230100,Baltimore city,Maryland,2018,46,38,53
161,N/A,24510230100,Baltimore city,Maryland,2019,48,42,53
162,N/A,24510130400,Baltimore city,Maryland,2017,36,40,31
163,N/A,24510130400,Baltimore city,Maryland,2018,30,32,29
164,N/A,24510130400,Baltimore city,Maryland,2019,24,20,28
165,N/A,24510140100,Baltimore city,Maryland,2017,44,36,52
166,N/A,24510140100,Baltimore city,Maryland,2018,42,33,50
167,N/A,24510140100,Baltimore city,Maryland,2019,46,43,48
168,N/A,24510120202,Baltimore city,Maryland,2017,48,51,45
169,N/A,24510120202,Baltimore city,Maryland,2018,50,56,45
170,N/A,24510120202,Baltimore city,Maryland,2019,46,44,48
171,N/A,24510100200,Baltimore city,Maryland,2017,28,31,26
172,N/A,24510100200,Baltimore city,Maryland,2018,24,20,28
173,N/A,24510100200,Baltimore city,Maryland,2019,34,32,35
174,N/A,24003730100,Anne Arundel County,Maryland,2017,76,81,71
175,N/A,24003730100,Anne Arundel County,Maryland,2018,74,74,73
176,N/A,24003730100,Anne Arundel County,Maryland,2019,75,76,74
177,N/A,24510090300,Baltimore city,Maryland,2017,42,44,41
178,N/A,24510090300,Baltimore city,Maryland,2018,44,48,41
179,N/A,24510090300,Baltimore city,Maryland,2019,44,50,39
180,N/A,24510180200,Baltimore city,Maryland,2017,24,28,19
181,N/A,24510180200,Baltimore city,Maryland,2018,20,21,20
182,N/A,24510180200,Baltimore city,Maryland,2019,24,26,22
183,N/A,24510200300,Baltimore city,Maryland,2017,38,45,31
184,N/A,24510200300,Baltimore city,Maryland,2018,33,32,34
185,N/A,24510200300,Baltimore city,Maryland,2019,28,21,35
186,N/A,24510090700,Baltimore city,Maryland,2017,32,31,32
187,N/A,24510090700,Baltimore city,Maryland,2018,34,36,33
188,N/A,24510090700,Baltimore city,Maryland,2019,30,28,31
189,N/A,24005440400,Baltimore County,Maryland,2017,48,41,55
190,N/A,24005440400,Baltimore County,Maryland,2018,54,53,56
191,N/A,24005440400,Baltimore County,Maryland,2019,52,47,57
192,N/A,24510080600,Baltimore city,Maryland,2017,36,42,30
193,N/A,24510080600,Baltimore city,Maryland,2018,34,37,30
194,N/A,24510080600,Baltimore city,Maryland,2019,40,51,28
195,N/A,24510280301,Baltimore city,Maryland,2017,44,50,38
196,N/A,24510280301,Baltimore city,Maryland,2018,39,40,38
197,N/A,24510280301,Baltimore city,Maryland,2019,43,48,38
198,N/A,24005421000,Baltimore County,Maryland,2017,34,29,38
199,N/A,24005421000,Baltimore County,Maryland,2018,32,24,39
200,N/A,24005421000,Baltimore County,Maryland,2019,28,16,39
201,N/A,24005400100,Baltimore County,Maryland,2017,44,53,34
202,N/A,24005400100,Baltimore County,Maryland,2018,40,46,33
203,N/A,24005400100,Baltimore County,Maryland,2019,40,48,33
204,N/A,24510260403,Baltimore city,Maryland,2017,46,46,46
205,N/A,24510260403,Baltimore city,Maryland,2018,44,45,44
206,N/A,24510260403,Baltimore city,Maryland,2019,40,36,44
207,N/A,24510090600,Baltimore city,Maryland,2017,34,43,25
208,N/A,24510090600,Baltimore city,Maryland,2018,34,40,27
209,N/A,24510090600,Baltimore city,Maryland,2019,36,46,27
210,N/A,24510270701,Baltimore city,Maryland,2017,32,31,34
211,N/A,24510270701,Baltimore city,Maryland,2018,32,32,32
212,N/A,24510270701,Baltimore city,Maryland,2019,31,30,32
213,N/A,24510130806,Baltimore city,Maryland,2017,49,46,52
214,N/A,24510130806,Baltimore city,Maryland,2018,48,39,56
215,N/A,24510130806,Baltimore city,Maryland,2019,54,45,62
216,N/A,24510120700,Baltimore city,Maryland,2017,54,53,56
217,N/A,24510120700,Baltimore city,Maryland,2018,51,43,59
218,N/A,24510120700,Baltimore city,Maryland,2019,55,48,62
219,N/A,24510090500,Baltimore city,Maryland,2017,40,41,38
220,N/A,24510090500,Baltimore city,Maryland,2018,38,35,41
221,N/A,24510090500,Baltimore city,Maryland,2019,41,38,44
222,N/A,24510280404,Baltimore city,Maryland,2017,40,44,36
223,N/A,24510280404,Baltimore city,Maryland,2018,44,50,38
224,N/A,24510280404,Baltimore city,Maryland,2019,40,40,39
225,N/A,24005430104,Baltimore County,Maryland,2017,52,39,64
226,N/A,24005430104,Baltimore County,Maryland,2018,54,43,65
227,N/A,24005430104,Baltimore County,Maryland,2019,54,45,64
228,N/A,24510120100,Baltimore city,Maryland,2017,52,49,55
229,N/A,24510120100,Baltimore city,Maryland,2018,58,61,56
230,N/A,24510120100,Baltimore city,Maryland,2019,60,61,58
231,N/A,24510120600,Baltimore city,Maryland,2017,38,37,38
232,N/A,24510120600,Baltimore city,Maryland,2018,36,35,37
233,N/A,24510120600,Baltimore city,Maryland,2019,42,45,38
234,N/A,24510260900,Baltimore city,Maryland,2017,62,64,61
235,N/A,24510260900,Baltimore city,Maryland,2018,65,66,64
236,N/A,24510260900,Baltimore city,Maryland,2019,62,58,66
237,N/A,24510271102,Baltimore city,Maryland,2017,46,43,50
238,N/A,24510271102,Baltimore city,Maryland,2018,48,45,50
239,N/A,24510271102,Baltimore city,Maryland,2019,50,51,50
240,N/A,24510280101,Baltimore city,Maryland,2017,45,50,40
241,N/A,24510280101,Baltimore city,Maryland,2018,44,46,41
242,N/A,24510280101,Baltimore city,Maryland,2019,39,36,42
243,N/A,24005403601,Baltimore County,Maryland,2017,58,55,61
244,N/A,24005403601,Baltimore County,Maryland,2018,54,49,60
245,N/A,24005403601,Baltimore County,Maryland,2019,51,43,59
246,N/A,24005450100,Baltimore County,Maryland,2017,52,53,52
247,N/A,24005450100,Baltimore County,Maryland,2018,51,51,51
248,N/A,24005450100,Baltimore County,Maryland,2019,48,45,50
249,N/A,24510160801,Baltimore city,Maryland,2017,35,46,24
250,N/A,24510160801,Baltimore city,Maryland,2018,34,45,24
251,N/A,24510160801,Baltimore city,Maryland,2019,40,53,26
252,N/A,24510260800,Baltimore city,Maryland,2017,38,39,38
253,N/A,24510260800,Baltimore city,Maryland,2018,40,41,40
254,N/A,24510260800,Baltimore city,Maryland,2019,42,44,41
255,N/A,24510020300,Baltimore city,Maryland,2017,70,73,68
256,N/A,24510020300,Baltimore city,Maryland,2018,68,66,71
257,N/A,24510020300,Baltimore city,Maryland,2019,64,56,72
258,N/A,24005491300,Baltimore County,Maryland,2017,39,35,43
259,N/A,24005491300,Baltimore County,Maryland,2018,38,34,41
260,N/A,24005491300,Baltimore County,Maryland,2019,46,50,42
261,N/A,24510080500,Baltimore city,Maryland,2017,34,35,32
262,N/A,24510080500,Baltimore city,Maryland,2018,33,34,32
263,N/A,24510080500,Baltimore city,Maryland,2019,34,35,34
264,N/A,24510110200,Baltimore city,Maryland,2017,54,54,53
265,N/A,24510110200,Baltimore city,Maryland,2018,52,51,54
266,N/A,24510110200,Baltimore city,Maryland,2019,58,62,54
267,N/A,24005490603,Baltimore County,Maryland,2017,58,56,61
268,N/A,24005490603,Baltimore County,Maryland,2018,53,46,60
269,N/A,24005490603,Baltimore County,Maryland,2019,50,38,61
270,N/A,24510200500,Baltimore city,Maryland,2017,29,30,28
271,N/A,24510200500,Baltimore city,Maryland,2018,26,23,30
272,N/A,24510200500,Baltimore city,Maryland,2019,45,56,34
273,N/A,24510100300,Baltimore city,Maryland,2017,N/A,49,24
274,N/A,24510100300,Baltimore city,Maryland,2018,N/A,43,24
275,N/A,24510100300,Baltimore city,Maryland,2019,N/A,34,24
276,N/A,24005401301,Baltimore County,Maryland,2017,45,33,57
277,N/A,24005401301,Baltimore County,Maryland,2018,46,36,57
278,N/A,24005401301,Baltimore County,Maryland,2019,44,37,51
279,N/A,24510060200,Baltimore city,Maryland,2017,42,49,36
280,N/A,24510060200,Baltimore city,Maryland,2018,40,41,38
281,N/A,24510060200,Baltimore city,Maryland,2019,36,30,41
282,N/A,24005420702,Baltimore County,Maryland,2017,38,28,48
283,N/A,24005420702,Baltimore County,Maryland,2018,39,31,47
284,N/A,24005420702,Baltimore County,Maryland,2019,33,20,46
285,N/A,24003751102,Anne Arundel County,Maryland,2017,50,44,55
286,N/A,24003751102,Anne Arundel County,Maryland,2018,48,42,53
287,N/A,24003751102,Anne Arundel County,Maryland,2019,52,51,52
288,N/A,24510280401,Baltimore city,Maryland,2017,45,38,52
289,N/A,24510280401,Baltimore city,Maryland,2018,42,35,50
290,N/A,24510280401,Baltimore city,Maryland,2019,46,41,50
291,N/A,24510090100,Baltimore city,Maryland,2017,40,44,35
292,N/A,24510090100,Baltimore city,Maryland,2018,28,25,32
293,N/A,24510090100,Baltimore city,Maryland,2019,34,38,30
294,N/A,24005980100,Baltimore County,Maryland,2017,N/A,N/A,48
295,N/A,24005980100,Baltimore County,Maryland,2018,N/A,N/A,48
296,N/A,24005980100,Baltimore County,Maryland,2019,N/A,N/A,48
297,N/A,24005400200,Baltimore County,Maryland,2017,44,31,56
298,N/A,24005400200,Baltimore County,Maryland,2018,46,35,57
299,N/A,24005400200,Baltimore County,Maryland,2019,49,39,59
300,N/A,24510090200,Baltimore city,Maryland,2017,46,48,44
301,N/A,24510090200,Baltimore city,Maryland,2018,38,28,47
302,N/A,24510090200,Baltimore city,Maryland,2019,43,35,51
303,N/A,24510080102,Baltimore city,Maryland,2017,38,40,37
304,N/A,24510080102,Baltimore city,Maryland,2018,33,26,40
305,N/A,24510080102,Baltimore city,Maryland,2019,44,50,38
306,N/A,24510240300,Baltimore city,Maryland,2017,46,32,59
307,N/A,24510240300,Baltimore city,Maryland,2018,48,35,61
308,N/A,24510240300,Baltimore city,Maryland,2019,54,45,64
309,N/A,24510190300,Baltimore city,Maryland,2017,45,65,25
310,N/A,24510190300,Baltimore city,Maryland,2018,31,40,22
311,N/A,24510190300,Baltimore city,Maryland,2019,30,37,23
312,N/A,24510230200,Baltimore city,Maryland,2017,62,52,72
313,N/A,24510230200,Baltimore city,Maryland,2018,64,53,74
314,N/A,24510230200,Baltimore city,Maryland,2019,58,41,75
315,N/A,24510260101,Baltimore city,Maryland,2017,40,47,34
316,N/A,24510260101,Baltimore city,Maryland,2018,41,48,34
317,N/A,24510260101,Baltimore city,Maryland,2019,46,58,35
318,N/A,24510190200,Baltimore city,Maryland,2017,36,28,45
319,N/A,24510190200,Baltimore city,Maryland,2018,32,19,46
320,N/A,24510190200,Baltimore city,Maryland,2019,32,16,47
321,N/A,24510250402,Baltimore city,Maryland,2017,29,34,24
322,N/A,24510250402,Baltimore city,Maryland,2018,31,35,27
323,N/A,24510250402,Baltimore city,Maryland,2019,34,38,29
324,N/A,24510280302,Baltimore city,Maryland,2017,48,59,36
325,N/A,24510280302,Baltimore city,Maryland,2018,35,37,33
326,N/A,24510280302,Baltimore city,Maryland,2019,28,24,33
327,N/A,24510270901,Baltimore city,Maryland,2017,46,45,48
328,N/A,24510270901,Baltimore city,Maryland,2018,37,26,48
329,N/A,24510270901,Baltimore city,Maryland,2019,43,41,45
330,N/A,24510270501,Baltimore city,Maryland,2017,52,46,59
331,N/A,24510270501,Baltimore city,Maryland,2018,44,32,56
332,N/A,24510270501,Baltimore city,Maryland,2019,45,36,54
333,N/A,24005430400,Baltimore County,Maryland,2017,57,52,62
334,N/A,24005430400,Baltimore County,Maryland,2018,60,53,66
335,N/A,24005430400,Baltimore County,Maryland,2019,58,49,68
336,N/A,24510070100,Baltimore city,Maryland,2017,36,44,28
337,N/A,24510070100,Baltimore city,Maryland,2018,34,40,28
338,N/A,24510070100,Baltimore city,Maryland,2019,36,45,27
339,N/A,24510270804,Baltimore city,Maryland,2017,41,36,46
340,N/A,24510270804,Baltimore city,Maryland,2018,46,43,49
341,N/A,24510270804,Baltimore city,Maryland,2019,50,47,52
342,N/A,24005430200,Baltimore County,Maryland,2017,44,46,42
343,N/A,24005430200,Baltimore County,Maryland,2018,34,27,41
344,N/A,24005430200,Baltimore County,Maryland,2019,44,48,39
345,N/A,24510010500,Baltimore city,Maryland,2017,44,29,59
346,N/A,24510010500,Baltimore city,Maryland,2018,46,32,60
347,N/A,24510010500,Baltimore city,Maryland,2019,52,44,60
348,N/A,24510150200,Baltimore city,Maryland,2017,41,51,31
349,N/A,24510150200,Baltimore city,Maryland,2018,36,42,29
350,N/A,24510150200,Baltimore city,Maryland,2019,28,31,25
351,N/A,24510160300,Baltimore city,Maryland,2017,22,26,19
352,N/A,24510160300,Baltimore city,Maryland,2018,28,39,18
353,N/A,24510160300,Baltimore city,Maryland,2019,28,36,20
354,N/A,24510272006,Baltimore city,Maryland,2017,40,48,32
355,N/A,24510272006,Baltimore city,Maryland,2018,36,40,33
356,N/A,24510272006,Baltimore city,Maryland,2019,38,44,32
357,N/A,24003750203,Anne Arundel County,Maryland,2017,48,42,55
358,N/A,24003750203,Anne Arundel County,Maryland,2018,42,31,53
359,N/A,24003750203,Anne Arundel County,Maryland,2019,45,39,51
360,N/A,24510130803,Baltimore city,Maryland,2017,56,52,61
361,N/A,24510130803,Baltimore city,Maryland,2018,52,45,58
362,N/A,24510130803,Baltimore city,Maryland,2019,48,41,55
363,N/A,24510280200,Baltimore city,Maryland,2017,46,57,36
364,N/A,24510280200,Baltimore city,Maryland,2018,40,43,36
365,N/A,24510280200,Baltimore city,Maryland,2019,40,45,34
366,N/A,24510270401,Baltimore city,Maryland,2017,55,63,47
367,N/A,24510270401,Baltimore city,Maryland,2018,46,46,45
368,N/A,24510270401,Baltimore city,Maryland,2019,44,44,44
369,N/A,24510270801,Baltimore city,Maryland,2017,36,26,45
370,N/A,24510270801,Baltimore city,Maryland,2018,43,42,44
371,N/A,24510270801,Baltimore city,Maryland,2019,40,35,44
372,N/A,24510200702,Baltimore city,Maryland,2017,24,24,25
373,N/A,24510200702,Baltimore city,Maryland,2018,26,24,29
374,N/A,24510200702,Baltimore city,Maryland,2019,24,25,24
375,N/A,24510270803,Baltimore city,Maryland,2017,48,50,47
376,N/A,24510270803,Baltimore city,Maryland,2018,50,50,49
377,N/A,24510270803,Baltimore city,Maryland,2019,52,53,50
378,N/A,24510270301,Baltimore city,Maryland,2017,48,47,49
379,N/A,24510270301,Baltimore city,Maryland,2018,50,50,49
380,N/A,24510270301,Baltimore city,Maryland,2019,46,40,51
381,N/A,24510200600,Baltimore city,Maryland,2017,40,44,36
382,N/A,24510200600,Baltimore city,Maryland,2018,32,27,37
383,N/A,24510200600,Baltimore city,Maryland,2019,36,35,37
384,N/A,24510271801,Baltimore city,Maryland,2017,32,38,27
385,N/A,24510271801,Baltimore city,Maryland,2018,30,33,26
386,N/A,24510271801,Baltimore city,Maryland,2019,27,29,25
387,N/A,24510151200,Baltimore city,Maryland,2017,36,42,29
388,N/A,24510151200,Baltimore city,Maryland,2018,43,58,28
389,N/A,24510151200,Baltimore city,Maryland,2019,25,23,27
390,N/A,24510272003,Baltimore city,Maryland,2017,58,59,57
391,N/A,24510272003,Baltimore city,Maryland,2018,56,55,56
392,N/A,24510272003,Baltimore city,Maryland,2019,50,50,51
393,N/A,24005441102,Baltimore County,Maryland,2017,36,32,41
394,N/A,24005441102,Baltimore County,Maryland,2018,40,41,40
395,N/A,24005441102,Baltimore County,Maryland,2019,40,39,40
396,N/A,24510060300,Baltimore city,Maryland,2017,51,49,53
397,N/A,24510060300,Baltimore city,Maryland,2018,43,35,51
398,N/A,24510060300,Baltimore city,Maryland,2019,48,46,51
399,N/A,24510280102,Baltimore city,Maryland,2017,47,60,34
400,N/A,24510280102,Baltimore city,Maryland,2018,40,45,36
401,N/A,24510280102,Baltimore city,Maryland,2019,46,52,39
402,N/A,24510080101,Baltimore city,Maryland,2017,38,26,49
403,N/A,24510080101,Baltimore city,Maryland,2018,47,45,49
404,N/A,24510080101,Baltimore city,Maryland,2019,53,57,49
405,N/A,24510271200,Baltimore city,Maryland,2017,58,50,65
406,N/A,24510271200,Baltimore city,Maryland,2018,58,51,64
407,N/A,24510271200,Baltimore city,Maryland,2019,61,59,63
408,N/A,24510020200,Baltimore city,Maryland,2017,52,45,60
409,N/A,24510020200,Baltimore city,Maryland,2018,54,46,61
410,N/A,24510020200,Baltimore city,Maryland,2019,55,45,65
411,N/A,24510010200,Baltimore city,Maryland,2017,56,51,61
412,N/A,24510010200,Baltimore city,Maryland,2018,56,49,64
413,N/A,24510010200,Baltimore city,Maryland,2019,60,55,65
414,N/A,24510170300,Baltimore city,Maryland,2017,36,45,27
415,N/A,24510170300,Baltimore city,Maryland,2018,31,33,29
416,N/A,24510170300,Baltimore city,Maryland,2019,41,52,30
417,N/A,24510090400,Baltimore city,Maryland,2017,26,28,23
418,N/A,24510090400,Baltimore city,Maryland,2018,28,32,24
419,N/A,24510090400,Baltimore city,Maryland,2019,32,39,26
420,N/A,24510271400,Baltimore city,Maryland,2017,56,49,62
421,N/A,24510271400,Baltimore city,Maryland,2018,50,38,62
422,N/A,24510271400,Baltimore city,Maryland,2019,54,46,62
423,N/A,24005491401,Baltimore County,Maryland,2017,44,45,42
424,N/A,24005491401,Baltimore County,Maryland,2018,46,52,40
