N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
29,N/A,28049000301,Hinds County,Mississippi,2022,47,51,43,28,12,45,18,-0.8,-17.1,6,21.5,-41.4,16,3.1,0.5,15,77.9,67.9,62,87.6,90.1,88,72.6,86.3,48,60,35,69,-11.8,258.3,46,N/A,N/A,66,13.3,81.2,47,4.9,4.7,46,46,43,11,20.9,12.1,64,80,48,65,13.1,38.3,94,N/A,N/A,20,86.4,72.8,83,41.4,36.1,74,25.2,37.6,16,94,87
30,N/A,28049000301,Hinds County,Mississippi,2023,42,37,46,32,18,46,19,-0.9,-15.6,18,40.3,9,16,3.1,0.5,21,77.4,69.5,51,88.8,89.1,96,72.8,91.1,34,18,49,3,27.6,-77.9,47,N/A,N/A,5,-8.7,-58.6,92,3.8,10.5,46,46,43,9,20.7,11.2,60,75,44,63,15.1,37.2,87,N/A,N/A,23,86.3,75.4,79,41.5,37.1,55,25.3,27.3,20,93.9,88.2
31,N/A,28049000301,Hinds County,Mississippi,2024,41,41,41,32,18,46,19,-0.9,-15.6,18,40.3,9,16,3.1,0.5,21,77.4,69.5,51,88.8,89.1,96,72.8,91.1,30,28,32,70,-4.9,134.9,9,N/A,N/A,5,-8.7,-58.6,44,3.6,3.2,46,46,43,5,1.1,0.2,60,76,44,63,15.1,37.2,88,N/A,N/A,23,86.3,75.4,79,41.5,37.1,55,25.3,27.3,20,93.9,88.2
32,N/A,28049010901,Hinds County,Mississippi,2017,40,40,39,26,21,30,7,1.5,-14.6,35,-1.2,-2.4,28,3.1,1.3,10,76.5,65,35,78.6,73.4,46,74.1,72.9,44,34,54,34,4.1,0,53,N/A,N/A,15,4.5,-15,93,4.2,10.8,39,48,38,29,20.3,16.4,48,65,32,54,3,8.7,76,N/A,N/A,28,83.7,73.8,11,41.4,49.6,79,23.1,35.3,8,90,78.9
33,N/A,28049010901,Hinds County,Mississippi,2018,38,36,39,22,15,28,8,1.4,-13.4,22,3.1,-9.5,28,3.1,1.3,9,77.1,65.4,35,78.6,73.4,42,73.8,71.1,52,52,53,34,4.1,0,55,N/A,N/A,67,0,47.1,93,4.2,10.8,38,48,36,29,20.3,16.4,38,42,35,37,5.1,4.4,47,N/A,N/A,25,84,72.3,19,41.6,47.1,87,22.9,40.5,10,91.2,81.8
34,N/A,28049010901,Hinds County,Mississippi,2019,39,36,42,22,12,33,9,1.2,-10.5,14,10.8,-12.5,28,3.1,1.3,20,77.5,70.8,38,79.7,75.6,45,73.6,71.9,42,29,54,41,13.3,12.1,32,N/A,N/A,15,6.6,-12,93,4.2,10.8,39,48,37,29,20.3,16.4,54,68,40,46,8.3,10.9,89,N/A,N/A,18,84.4,67.4,32,41.7,44.5,96,22.9,54,14,92.3,84.8
35,N/A,28049010901,Hinds County,Mississippi,2020,34,31,38,26,12,40,18,1,-4.5,6,17.5,-33.2,28,3.1,1.3,43,77.8,76.4,39,80.8,77.6,49,73,72.7,39,50,28,70,6.7,27,35,N/A,N/A,45,7.4,13.6,23,3.6,2.1,36,48,34,26,20.6,16.1,39,32,46,18,11.1,2.6,47,N/A,N/A,14,84.9,64.4,59,41.8,40.6,96,23,54.3,15,93.2,86.6
36,N/A,28049010901,Hinds County,Mississippi,2021,40,30,49,49,30,68,47,-0.7,1.7,14,15.9,-23.5,28,3.1,1.3,96,78.5,90,82,85.9,92.9,66,72.5,78.2,34,38,29,24,5.4,-2.1,24,N/A,N/A,67,11.2,84,42,5.1,4.3,16,47,16,30,20.6,16.9,36,22,50,14,12.4,1.2,31,N/A,N/A,11,86.3,63.5,82,41.3,36.3,95,25.3,63.6,11,94.1,84.9
37,N/A,28049010901,Hinds County,Mississippi,2022,40,35,45,48,31,65,47,-0.8,1.6,15,21.5,-16.8,28,3.1,1.3,94,77.9,88.8,76,87.6,92.7,63,72.6,77.1,38,31,46,15,-11.8,-30.4,25,N/A,N/A,54,13.3,32.6,90,4.9,12.5,7,46,7,40,20.9,19.2,34,44,25,10,13.1,-4,79,N/A,N/A,5,86.4,52.8,57,41.4,40.4,N/A,25.2,N/A,14,94,86.3
38,N/A,28049010901,Hinds County,Mississippi,2023,36,29,44,41,22,60,27,-0.9,-6.4,16,40.3,-0.2,28,3.1,1.3,94,77.4,88,35,88.8,85.6,84,72.8,85,41,40,42,70,27.6,68.8,37,N/A,N/A,14,-8.7,-39.9,83,3.8,7.4,7,46,7,36,20.7,18.1,28,24,31,13,15.1,0.5,34,N/A,N/A,4,86.3,52,76,41.5,37.5,N/A,25.3,N/A,13,93.9,85.6
