geoid,year,inclusive_growth_score,igs_yoy_delta
24510271503,2023,51.0,2.0
24510271503,2024,51.0,0.0
24510271600,2020,32.0,
24510271600,2021,30.0,-2.0
24510271600,2022,29.0,-1.0
24510271600,2023,37.0,8.0
24510271600,2024,42.0,5.0
24510271700,2020,30.0,
24510271700,2021,40.0,10.0
24510271700,2022,41.0,1.0
24510271700,2023,37.0,-4.0
24510271700,2024,47.0,10.0
24510271801,2020,28.0,
24510271801,2021,30.0,2.0
24510271801,2022,30.0,0.0
24510271801,2023,24.0,-6.0
24510271801,2024,30.0,6.0
24510271802,2020,32.0,
24510271802,2021,28.0,-4.0
24510271802,2022,29.0,1.0
24510271802,2023,32.0,3.0
24510271802,2024,44.0,12.0
24510271900,2020,35.0,
24510271900,2021,37.0,2.0
24510271900,2022,40.0,3.0
24510271900,2023,36.0,-4.0
24510271900,2024,42.0,6.0
24510272003,2020,48.0,
24510272003,2021,40.0,-8.0
24510272003,2022,39.0,-1.0
24510272003,2023,48.0,9.0
24510272003,2024,45.0,-3.0
24510272004,2020,36.0,
24510272004,2021,38.0,2.0
24510272004,2022,36.0,-2.0
24510272004,2023,50.0,14.0
24510272004,2024,52.0,2.0
24510272005,2020,45.0,
24510272005,2021,45.0,0.0
24510272005,2022,48.0,3.0
24510272005,2023,48.0,0.0
24510272005,2024,50.0,2.0
24510272006,2020,36.0,
24510272006,2021,32.0,-4.0
24510272006,2022,32.0,0.0
24510272006,2023,35.0,3.0
24510272006,2024,38.0,3.0
24510272007,2020,32.0,
24510272007,2021,37.0,5.0
24510272007,2022,38.0,1.0
24510272007,2023,36.0,-2.0
24510272007,2024,37.0,1.0
24510280101,2020,38.0,
24510280101,2021,40.0,2.0
24510280101,2022,39.0,-1.0
24510280101,2023,42.0,3.0
24510280101,2024,42.0,0.0
24510280102,2020,52.0,
24510280102,2021,42.0,-10.0
24510280102,2022,41.0,-1.0
24510280102,2023,50.0,9.0
24510280102,2024,48.0,-2.0
24510280200,2020,48.0,
24510280200,2021,36.0,-12.0
24510280200,2022,41.0,5.0
24510280200,2023,46.0,5.0
24510280200,2024,42.0,-4.0
24510280301,2020,39.0,
24510280301,2021,44.0,5.0
24510280301,2022,44.0,0.0
24510280301,2023,42.0,-2.0
24510280301,2024,42.0,0.0
24510280302,2020,32.0,
24510280302,2021,40.0,8.0
24510280302,2022,45.0,5.0
24510280302,2023,50.0,5.0
24510280302,2024,52.0,2.0
24510280401,2020,38.0,
24510280401,2021,48.0,10.0
24510280401,2022,50.0,2.0
24510280401,2023,42.0,-8.0
24510280401,2024,38.0,-4.0
24510280402,2020,30.0,
24510280402,2021,28.0,-2.0
24510280402,2022,32.0,4.0
24510280402,2023,34.0,2.0
24510280402,2024,36.0,2.0
24510280403,2020,46.0,
24510280403,2021,37.0,-9.0
24510280403,2022,37.0,0.0
24510280403,2023,36.0,-1.0
24510280403,2024,30.0,-6.0
24510280404,2020,36.0,
24510280404,2021,36.0,0.0
24510280404,2022,41.0,5.0
24510280404,2023,26.0,-15.0
24510280404,2024,27.0,1.0
24510280500,2020,34.0,
24510280500,2021,49.0,15.0
24510280500,2022,38.0,-11.0
24510280500,2023,36.0,-2.0
24510280500,2024,32.0,-4.0
